Table name	Column Name	Coded Value	Description
DRUG	RouteOfAdministration	122	Local(Local)	Same as 118
DRUG	RouteOfAdministration	123	Nasogastric	OK
DRUG	RouteOfAdministration	124	Neck	OK
DRUG	RouteOfAdministration	125	Nose	Better as nasal
DRUG	RouteOfAdministration	126	Nose(045)	Same as 125
DRUG	RouteOfAdministration	127	Nose(Nasally)	Same as 125
DRUG	RouteOfAdministration	128	Nose(nose drops)	Same as 125
DRUG	RouteOfAdministration	129	Occlusive bandage method	OK
DRUG	RouteOfAdministration	130	Oral	OK
DRUG	RouteOfAdministration	131	Oral administration	Same as 130
DRUG	RouteOfAdministration	132	Oral(048)	Same as 130
DRUG	RouteOfAdministration	133	Oral(065)	Same as 130
DRUG	RouteOfAdministration	134	Oral(48)	Same as 130
DRUG	RouteOfAdministration	135	Oral(Internal medicine)	Same as 130
DRUG	RouteOfAdministration	136	Oral(Intravenous drip)	OK
DRUG	RouteOfAdministration	137	Oral(Oral administration)	Same as 130
DRUG	RouteOfAdministration	138	Oral(Oral)	Same as 130
DRUG	RouteOfAdministration	139	Oral(POR)	Same as 130
DRUG	RouteOfAdministration	140	Oral(TAB)	Same as 130
DRUG	RouteOfAdministration	141	Oral(noMatch)	Same as 130
DRUG	RouteOfAdministration	142	Oropharynx	OK
DRUG	RouteOfAdministration	143	Others	Better as unknown
DRUG	RouteOfAdministration	144	Parenteral	OK	
DRUG	RouteOfAdministration	145	Parenteral(Gastrointestinal tube)	OK
DRUG	RouteOfAdministration	146	Parenteral(Infusion)	OK
DRUG	RouteOfAdministration	147	Parenteral(Simple suspension method from gastrostomy)	OK
DRUG	RouteOfAdministration	148	Parenteral(nasogastric tube)	OK
DRUG	RouteOfAdministration	149	Periarticular	OK
DRUG	RouteOfAdministration	150	Perineural	OK
DRUG	RouteOfAdministration	151	Rectal	OK
DRUG	RouteOfAdministration	152	Rectal(054)	Same as 151
DRUG	RouteOfAdministration	153	Rectal(Enteral infusion)	OK
DRUG	RouteOfAdministration	154	Rectal(Rectal)	Same as 151
DRUG	RouteOfAdministration	155	Rectal(anal insertion)	OK
DRUG	RouteOfAdministration	156	Retrobulbar	OK
DRUG	RouteOfAdministration	157	Retrobulbar(under the tenon)	OK
DRUG	RouteOfAdministration	158	Single and daily dose unknown	Better as Unkown
DRUG	RouteOfAdministration	159	Skin	OK
DRUG	RouteOfAdministration	160	Skin(Application)	Same as 159
DRUG	RouteOfAdministration	161	Skin(OIT)	OK
DRUG	RouteOfAdministration	162	Skin(Skin)	Same as 159
DRUG	RouteOfAdministration	163	Subconjunctiva	Better as Subconjunctival
DRUG	RouteOfAdministration	164	Subcutaneous	OK
DRUG	RouteOfAdministration	165	Subcutaneous injection	OK
DRUG	RouteOfAdministration	166	Subcutaneous(042)	Same as 164
DRUG	RouteOfAdministration	167	Subcutaneous(058)	Same as 164
DRUG	RouteOfAdministration	168	Subcutaneous(Injection(Unspecified))	Same as 165
DRUG	RouteOfAdministration	169	Subcutaneous(Injection)	Same as 165
DRUG	RouteOfAdministration	170	Subcutaneous(Intravenous drip)	OK
DRUG	RouteOfAdministration	171	Subcutaneous(Persistence)	Same as 164
DRUG	RouteOfAdministration	172	Subcutaneous(Subcutaneous)	Same as 164
DRUG	RouteOfAdministration	173	Subcutaneous(epidural catheter)	OK
DRUG	RouteOfAdministration	174	Subcutaneous(subcutaneous injection)	Same as 165
DRUG	RouteOfAdministration	175	Subdermis	OK
DRUG	RouteOfAdministration	176	Sublingual	OK
DRUG	RouteOfAdministration	177	Teeth	OK
DRUG	RouteOfAdministration	178	Topical use	OK
DRUG	RouteOfAdministration	179	Transdermal	OK
DRUG	RouteOfAdministration	180	Transdermal(062)	Same as 179
DRUG	RouteOfAdministration	181	Transdermal(Application)	Same as 179
DRUG	RouteOfAdministration	182	Transdermal(External use)	Same as 179
DRUG	RouteOfAdministration	183	Transdermal(Paste)	OK
DRUG	RouteOfAdministration	184	Transdermal(Transdermal)	Same as 179
DRUG	RouteOfAdministration	185	Transmilk	Better as Through breastmilk
DRUG	RouteOfAdministration	186	Transmilk(Transmilk)	Better as Through breastmilk
DRUG	RouteOfAdministration	187	Transplacental	OK
DRUG	RouteOfAdministration	188	Transplacental(Subcutaneous)	OK
DRUG	RouteOfAdministration	189	Transplacental(Transplacental)	Same as 187
DRUG	RouteOfAdministration	190	Transplacental(noMatch)	Same as 187
DRUG	RouteOfAdministration	191	Transtracheal	OK
DRUG	RouteOfAdministration	192	Unknown	OK
DRUG	RouteOfAdministration	193	Urethra	Better as urethral
DRUG	RouteOfAdministration	194	Used for inhalation	Same as 24
DRUG	RouteOfAdministration	195	Used for intestine	Better as intestinal
DRUG	RouteOfAdministration	196	Used for laryngopharyngeal	Better as laryngopharyngeal
DRUG	RouteOfAdministration	197	Used for stomach	Better as gastric
DRUG	RouteOfAdministration	198	Vagina	Better as vaginal
DRUG	RouteOfAdministration	199	Venous NOS(42)	Better as Venous NOS
DRUG	RouteOfAdministration	200	Within the lesion	OK
DRUG	RouteOfAdministration	201	noMatch	Same as 192
DRUG	RouteOfAdministration	202	noMatch(041)	Same as 192
DRUG	RouteOfAdministration	203	noMatch(042)	Same as 192
DRUG	RouteOfAdministration	204	noMatch(050)	Same as 192
DRUG	RouteOfAdministration	205	noMatch(065)	Same as 192
DRUG	RouteOfAdministration	206	noMatch(Disinfection)	Better as Others(Disinfection)
DRUG	RouteOfAdministration	207	noMatch(External use)	Better as Others(External)
DRUG	RouteOfAdministration	208	noMatch(Gastric fistula)	Better as Others(Gastric fistula)
DRUG	RouteOfAdministration	209	noMatch(Gastric tube)	Better as Others(Gastric tube)
DRUG	RouteOfAdministration	210	noMatch(Gastrointestinal tube)	Better as Others(Gastrointestinal tube)
DRUG	RouteOfAdministration	211	noMatch(In the vitreous)	Better as Others(intravitreal)
DRUG	RouteOfAdministration	212	noMatch(Injection(Unspecified))	Better as Others(injection)
DRUG	RouteOfAdministration	213	noMatch(Injection)	Better as Others(injection)
DRUG	RouteOfAdministration	214	noMatch(Intraperitoneal)	Better as Others(Intraperitoneal)
DRUG	RouteOfAdministration	215	noMatch(Intrathecal)	Better as Others(Intrathecal)
DRUG	RouteOfAdministration	216	noMatch(L3/Spinal anesthesia from 4)	Better as Others(L3/Spinal anesthesia from 4)
DRUG	RouteOfAdministration	217	noMatch(Local anaesthesia)	Better as Others(Local anaesthesia)
DRUG	RouteOfAdministration	218	noMatch(Local)	Better as Others(Local)
DRUG	RouteOfAdministration	219	noMatch(NG tube)	Better as Others(Nasogastric tube)
DRUG	RouteOfAdministration	220	noMatch(Nasally/Gastric fistula)	Better as Others(Nasally/Gastric fistula)
DRUG	RouteOfAdministration	221	noMatch(Nasally/Gastrostomy: simple suspension)	Better as Others(Nasally/Gastrostomy)
DRUG	RouteOfAdministration	222	noMatch(Nasogastric)	Same as 219
DRUG	RouteOfAdministration	223	noMatch(Peripheral intravenous drip)	Better as Others(Peripheral intravenous drip)
DRUG	RouteOfAdministration	224	noMatch(Peripheral main root)	Better as Others(Peripheral main route)
DRUG	RouteOfAdministration	225	noMatch(Root filling)	Better as Others(Root filling)
DRUG	RouteOfAdministration	226	noMatch(Subarachnoid)	Better as Others(Subarachnoidal)
DRUG	RouteOfAdministration	227	noMatch(Subtenon&#39	
DRUG	RouteOfAdministration	228	noMatch(Transdermal)	Better as Others(Transdermal)
DRUG	RouteOfAdministration	229	noMatch(Transtracheal)	Better as Others(Transtracheal)
DRUG	RouteOfAdministration	230	noMatch(Unknown)	Same as 192
DRUG	RouteOfAdministration	231	noMatch(Used for inhalation)	Better as Others(Inhalational)
DRUG	RouteOfAdministration	232	noMatch(Used for intestine)	Better as Others(Intestinal)
DRUG	RouteOfAdministration	233	noMatch(gastric tube)	Same as 209
DRUG	RouteOfAdministration	234	noMatch(glottis)	Better as Others(Glottis)
DRUG	RouteOfAdministration	235	noMatch(infiltration)	Better as Others(Infiltration anaesthesia)
DRUG	RouteOfAdministration	236	noMatch(intracranial)	Better as Others(intracranial)
DRUG	RouteOfAdministration	237	noMatch(intrasinus)	Better as Others(intrasinus)
DRUG	RouteOfAdministration	238	noMatch(iv-PCA)	Better as Others(iv-PCA)
DRUG	RouteOfAdministration	239	noMatch(jurisdiction)	Better as Others(unknown)
DRUG	RouteOfAdministration	240	noMatch(laryngopharynx)	Better as Others(laryngopharyngeal)
DRUG	RouteOfAdministration	241	noMatch(local injection)	Better as Others(local injection)
DRUG	RouteOfAdministration	242	noMatch(nasal catheter)	Better as Others(nasal catheter)
DRUG	RouteOfAdministration	243	noMatch(nasogastric tube)	Same as 219
DRUG	RouteOfAdministration	244	noMatch(nasotracheal tube)	Better as Others(nasotracheal tube)
DRUG	RouteOfAdministration	245	noMatch(noMatch)	Same as 192
DRUG	RouteOfAdministration	246	noMatch(note)	Same as 192	
DRUG	RouteOfAdministration	247	noMatch(stomach)	Better as Others(stomach)
DRUG	RouteOfAdministration	248	noMatch(systemic topical(Including whole body application))	Better as Others(systemic topical(Including whole body application))
DRUG	RouteOfAdministration	249	noMatch(tendon)	Better as Others(tendon)
DRUG	RouteOfAdministration	250	noMatch(transtympanic)	Better as Others(transtympanic)
DRUG	RouteOfAdministration	251	noMatch(tube administration)	Better as Others(Enteral nutrition)
DRUG	RouteOfAdministration	252	noMatch(tube)	Better as Others(Enteral nutrition)
DRUG	RouteOfAdministration	253	noMatch(used for eyeballs)	Better as Others(Retrobulbar)
DRUG	RouteOfAdministration	254	s capsule)
DRUG	DosageUnit	1	%	OK
DRUG	DosageUnit	2	Ci	OK
DRUG	DosageUnit	3	DF	OK
DRUG	DosageUnit	4	L	OK
DRUG	DosageUnit	5	MBq	OK
DRUG	DosageUnit	6	M[iU]	Better as miu
DRUG	DosageUnit	7	Miu	Same as 6
DRUG	DosageUnit	8	[drp]	Better as drp
DRUG	DosageUnit	9	[iU]	Better as iu
DRUG	DosageUnit	10	[iU]/kg	Better as iu/kg
DRUG	DosageUnit	11	g	OK
DRUG	DosageUnit	12	gtt	Same as 8
DRUG	DosageUnit	13	iu	Same as 9
DRUG	DosageUnit	14	iu/kg	Same as 10
DRUG	DosageUnit	15	k[iU]	Better as kiu
DRUG	DosageUnit	16	kg	OK
DRUG	DosageUnit	17	kiu	Same as 15
DRUG	DosageUnit	18	mCi	OK
DRUG	DosageUnit	19	mEq	OK
DRUG	DosageUnit	20	mL	OK
DRUG	DosageUnit	21	meq	OK
DRUG	DosageUnit	22	mg	OK
DRUG	DosageUnit	23	mg/kg	OK
DRUG	DosageUnit	24	mg/m2	OK
DRUG	DosageUnit	25	mg/mL	OK
DRUG	DosageUnit	26	mg/m^2	Same as 24
DRUG	DosageUnit	27	mmol	OK
DRUG	DosageUnit	28	mol	OK
DRUG	DosageUnit	29	nCi	OK
DRUG	DosageUnit	30	ng	OK
DRUG	DosageUnit	31	pg	OK
DRUG	DosageUnit	32	uL	OK
DRUG	DosageUnit	33	ug	OK
DRUG	DosageUnit	34	ug/kg	OK
DRUG	DosageUnit	35	ug/m2	OK
DRUG	DosageUnit	36	μL	Same as 32
DRUG	DosageUnit	37	μg	Same as 33
DRUG	DosageUnit	38	μg/kg	Same as 34
DRUG	DosageUnit	39	μg/m^2	Same as 35
DRUG	DosageUnit	40	％	Same as 1
DRUG	Treatment	1	Discontinuation of administration	OK
DRUG	Treatment	2	Dose increase	OK
DRUG	Treatment	3	Dose reduction	OK
DRUG	Treatment	4	No dose change	OK
DRUG	Treatment	5	Not applicable	OK
DRUG	Treatment	6	Unknown	OK
DEMO	Sex	1	Man	OK
DEMO	Sex	2	Woman	OK
DEMO	Sex	3	Not clear	Better as unknown
DEMO	HeightBin	1	Less than 10 cm	OK
DEMO	HeightBin	2	10cm	OK
DEMO	HeightBin	3	20cm	OK
DEMO	HeightBin	4	30cm	OK
DEMO	HeightBin	5	40cm	OK
DEMO	HeightBin	6	50cm	OK
DEMO	HeightBin	7	60cm	OK
DEMO	HeightBin	8	70cm	OK
DEMO	HeightBin	9	80cm	OK
DEMO	HeightBin	10	90cm	OK
DEMO	HeightBin	11	100cm	OK
DEMO	HeightBin	12	110cm	OK
DEMO	HeightBin	13	120cm	OK
DEMO	HeightBin	14	130cm	OK
DEMO	HeightBin	15	140cm	OK
DEMO	HeightBin	16	150cm	OK
DEMO	HeightBin	17	160cm	OK
DEMO	HeightBin	18	170cm	OK
DEMO	HeightBin	19	180cm	OK
DEMO	HeightBin	20	190cm	OK
DEMO	HeightBin	21	200 cm or more	OK
DEMO	PatientSurveyStatus	1	Investigating	OK
DEMO	PatientSurveyStatus	2	Survey completed	OK
DEMO	ReportType	1	Spontaneous report	OK
DEMO	ReportType	2	Test	OK
DEMO	ReportType	3	Not clear	Better as unknown
DEMO	ReportType	4	Other	OK
