Table name	Column Name	Coded Value	Description
DRUG	DosageUnit	4	Drp
DRUG	DosageUnit	5	Iu
DRUG	DosageUnit	6	Iu/kg
DRUG	DosageUnit	7	Kiu
DRUG	DosageUnit	8	L
DRUG	DosageUnit	9	MBq
DRUG	DosageUnit	10	Miu
DRUG	DosageUnit	11	g
DRUG	DosageUnit	12	kg
DRUG	DosageUnit	13	mCi
DRUG	DosageUnit	14	mEq
DRUG	DosageUnit	15	mL
DRUG	DosageUnit	16	meq
DRUG	DosageUnit	17	mg
DRUG	DosageUnit	18	mg/kg
DRUG	DosageUnit	19	mg/m2
DRUG	DosageUnit	20	mg/mL
DRUG	DosageUnit	21	mmol
DRUG	DosageUnit	22	mol
DRUG	DosageUnit	23	nCi
DRUG	DosageUnit	24	ng
DRUG	DosageUnit	25	pg
DRUG	DosageUnit	26	uL
DRUG	DosageUnit	27	ug
DRUG	DosageUnit	28	ug/kg
DRUG	DosageUnit	29	ug/m2
DRUG	Treatment	1	Discontinuation of administration
DRUG	Treatment	2	Dose increase
DRUG	Treatment	3	Dose reduction
DRUG	Treatment	4	No dose change
DRUG	Treatment	5	Not applicable
DRUG	Treatment	6	Unknown
DEMO	Sex	1	Man
DEMO	Sex	2	Unknown
DEMO	Sex	3	Woman
DEMO	AgeBin	1	Under 10 years old
DEMO	AgeBin	2	20's
DEMO	AgeBin	3	30's
DEMO	AgeBin	4	40's
DEMO	AgeBin	5	50's
DEMO	AgeBin	6	60's
DEMO	AgeBin	7	70's
DEMO	AgeBin	8	80's
DEMO	AgeBin	9	90's
DEMO	AgeBin	10	100's
DEMO	AgeBin	11	Adult
DEMO	AgeBin	12	Child
DEMO	AgeBin	13	Fetus
DEMO	AgeBin	14	First trimester
DEMO	AgeBin	15	Infant
DEMO	AgeBin	16	Newborn
DEMO	AgeBin	17	Second trimester
DEMO	AgeBin	18	Senior
DEMO	AgeBin	19	Teen
DEMO	AgeBin	20	Third trimester
DEMO	AgeBin	21	Youth
DEMO	WeightBin	1	Less than 10kg
DEMO	WeightBin	2	10kg
DEMO	WeightBin	3	20kg
DEMO	WeightBin	4	30kg
DEMO	WeightBin	5	40kg
DEMO	WeightBin	6	50kg
DEMO	WeightBin	7	60kg
DEMO	WeightBin	8	70kg
DEMO	WeightBin	9	80kg
DEMO	WeightBin	10	90kg
DEMO	WeightBin	11	100kg
DEMO	WeightBin	12	110kg
DEMO	WeightBin	13	120kg
DEMO	WeightBin	14	130kg
DEMO	WeightBin	15	140kg
DEMO	WeightBin	16	150kg
DEMO	WeightBin	17	160kg
DEMO	WeightBin	18	170kg
DEMO	WeightBin	19	180kg
DEMO	WeightBin	20	200kg or more
DEMO	HeightBin	1	Less than 10 cm
DEMO	HeightBin	2	10cm
DEMO	HeightBin	3	20cm
DEMO	HeightBin	4	30cm
DEMO	HeightBin	5	40cm
DEMO	HeightBin	6	50cm
DEMO	HeightBin	7	60cm
DEMO	HeightBin	8	70cm
DEMO	HeightBin	9	80cm
DEMO	HeightBin	10	90cm
DEMO	HeightBin	11	100cm
DEMO	HeightBin	12	110cm
DEMO	HeightBin	13	120cm
DEMO	HeightBin	14	130cm
DEMO	HeightBin	15	140cm
DEMO	HeightBin	16	150cm
DEMO	HeightBin	17	160cm
DEMO	HeightBin	18	170cm
DEMO	HeightBin	19	180cm
DEMO	HeightBin	20	190cm
DEMO	HeightBin	21	200 cm or more
DEMO	PatientSurveyStatus	1	Investigating
DEMO	PatientSurveyStatus	2	Survey completed
DEMO	ReportType	1	Spontaneous report
DEMO	ReportType	2	Test
DEMO	ReportType	3	Unknown
DEMO	ReportType	4	Other
DEMO	ReporterQualification	1	Consumers, etc.
DEMO	ReporterQualification	2	Doctor
DEMO	ReporterQualification	3	Lawyer
DEMO	ReporterQualification	4	Medical personnel
DEMO	ReporterQualification	5	Pharmacist
DEMO	ReporterQualification	6	Unknown
