Disease	DiseaseId
Alcohol intolerance	232
Alcohol poisoning	233
Alcohol problem	234
Alcohol use	235
Alcohol use disorder	236
Alcohol withdrawal syndrome	237
Alcoholic	238
Alcoholic liver disease	239
Alcoholic pancreatitis	240
Alcoholic psychosis	241
Alcoholic seizure	242
Alcoholism	243
Alexia	244
Alkaptonuria	245
Allergic bronchitis	246
Allergic bronchopulmonary mycosis	247
Allergic colitis	248
Allergic cough	249
Allergic gastroenteritis	250
Allergic keratitis	251
Allergic otitis media	252
Allergic pharyngitis	253
Allergic respiratory disease	254
Allergic sinusitis	255
Allergic transfusion reaction	256
Allergy prophylaxis	257
Allergy to animal	258
Allergy to arthropod sting	259
Allergy to chemicals	260
Allergy to metals	261
Allergy to plants	262
Allergy to synthetic fabric	263
Allogenic bone marrow transplantation therapy	264
Allogenic stem cell transplantation	265
Alopecia	266
Alopecia areata	267
Alopecia scarring	268
Alopecia universalis	269
Alpha haemolytic streptococcal infection	270
Alpha interferon therapy	271
Alport's syndrome	272
Altered state of consciousness	273
Alternaria infection	274
Alternating hemiplegia of childhood	275
Alveolar capillary dysplasia	276
Alveolar osteitis	277
Alveolar proteinosis	278
Alveolar rhabdomyosarcoma	279
Alveolar soft part sarcoma	280
Alveolar soft part sarcoma metastatic	281
Amaurosis	282
Amaurosis fugax	283
Amblyopia	284
Amblyopia congenital	285
Amblyopia therapy	286
Amegakaryocytic thrombocytopenia	287
Ameloblastoma	288
Amenorrhoea	289
Amino acid level decreased	290
Amino acid level increased	291
Amino acid metabolism disorder	292
Ammonia increased	293
Amnesia	294
Amnestic disorder	295
Amniocentesis	296
Amniotic cavity infection	297
Amoebiasis	298
Amoebic colitis	299
Amoebic dysentery	300
Amphetamines positive	301
Amputation stump pain	302
Amylase increased	303
Amyloid arthropathy	304
Amyloidosis	305
Amyloidosis senile	306
Amyotrophic lateral sclerosis	307
Amyotrophy	308
Anaemia	309
Anaemia folate deficiency	310
Anaemia macrocytic	311
Anaemia megaloblastic	312
Anaemia neonatal	313
Anaemia of chronic disease	314
Anaemia of malignant disease	315
Anaemia of pregnancy	316
Anaemia postoperative	317
Anaemia prophylaxis	318
Anaemia vitamin B12 deficiency	319
Anaesthesia	320
Anaesthesia procedure	321
Anaesthesia reversal	322
Anaesthetic complication vascular	323
Anal abscess	324
Anal atresia	325
Anal cancer	326
Anal cancer recurrent	327
Anal cancer stage 0	328
Anal cancer stage III	329
Anal cancer stage IV	330
Anal eczema	331
Anal erythema	332
Anal fissure	333
Anal fissure haemorrhage	334
Anal fistula	335
Anal haemorrhage	336
Anal incontinence	337
Anal neoplasm	338
Anal polyp	339
Anal prolapse	340
Anal squamous cell carcinoma	341
Anal stenosis	342
Anal ulcer	343
Analgesic intervention supportive therapy	344
Analgesic therapy	345
Anaphylactic reaction	346
Anaphylactic shock	347
Anaphylactoid reaction	348
Anaphylactoid shock	349
Anaphylactoid syndrome of pregnancy	350
Anaplastic astrocytoma	351
Anaplastic large cell lymphoma T- and null-cell types	352
Anaplastic large cell lymphoma T- and null-cell types refractory	353
Anaplastic large cell lymphoma T- and null-cell types stage III	354
Anaplastic large-cell lymphoma	355
Anaplastic lymphoma kinase gene mutation	356
Anaplastic oligodendroglioma	357
Anaplastic thyroid cancer	358
Anastomotic complication	359
Anastomotic haemorrhage	360
Anastomotic leak	361
Anastomotic stenosis	362
Anastomotic ulcer	363
Androgen therapy	364
Androgenetic alopecia	365
Androgens abnormal	366
Andropause	367
Anencephaly	368
Aneurysm	369
Aneurysm arteriovenous	370
Aneurysm recanalisation	371
Aneurysm repair	372
Aneurysm ruptured	373
Aneurysmal bone cyst	374
Aneurysmectomy	375
Angelman's syndrome	376
Anger	377
Angina pectoris	378
Angina unstable	379
Angiocardiogram	380
Angiocentric lymphoma	381
Angiocentric lymphoma recurrent	382
Angiodysplasia	383
Angioedema	384
Angiofibroma	385
Angiogram	386
Angiogram cerebral	387
Angiogram retina	388
Angioimmunoblastic T-cell lymphoma	389
Angioimmunoblastic T-cell lymphoma recurrent	390
Angioimmunoblastic T-cell lymphoma refractory	391
Angioimmunoblastic T-cell lymphoma stage I	392
Angioimmunoblastic T-cell lymphoma stage II	393
Angioimmunoblastic T-cell lymphoma stage III	394
Angioimmunoblastic T-cell lymphoma stage IV	395
Angiolipoma	396
Angiolymphoid hyperplasia with eosinophilia	397
Angiomyolipoma	398
Angiopathy	399
Angioplasty	400
Angiosarcoma	401
Angiosarcoma metastatic	402
Angiosarcoma recurrent	403
Angiosclerosis	404
Angle closure glaucoma	405
Anhidrosis	406
Animal bite	407
Animal scratch	408
Aniridia	409
Anisakiasis	410
Ankle brachial index decreased	411
Ankle fracture	412
Ankle impingement	413
Ankyloglossia acquired	414
Ankyloglossia congenital	415
Ankylosing spondylitis	416
Annular pancreas	417
Annuloplasty	418
Anodontia	419
Anogenital warts	420
Anomalous arrangement of pancreaticobiliary duct	421
Anomalous pulmonary venous connection	422
Anorectal disorder	423
Anorectal operation	424
Anorectal varices	425
Anorexia and bulimia syndrome	426
Anorexia nervosa	427
Anosognosia	428
Anovulatory cycle	429
Anovulvar fistula	430
Anterior chamber cell	431
Anterior chamber cleavage syndrome	432
Anterior chamber disorder	433
Anterior chamber inflammation	434
Anterior spinal artery syndrome	435
Anterograde amnesia	436
Anti-GAD antibody negative	437
Anti-HLA antibody test positive	438
Anti-NMDA antibody positive	439
Anti-androgen withdrawal syndrome	440
Anti-aquaporin-4 antibody	441
Anti-aquaporin-4 antibody positive	442
Anti-cyclic citrullinated peptide antibody positive	443
Anti-erythropoietin antibody positive	444
Anti-glomerular basement membrane antibody	445
Anti-glomerular basement membrane antibody positive	446
Anti-glomerular basement membrane disease	447
Anti-glycyl-tRNA synthetase antibody positive	448
Anti-infective therapy	449
Anti-insulin antibody	450
Anti-insulin antibody positive	451
Anti-insulin receptor antibody positive	452
Anti-muscle specific kinase antibody	453
Anti-muscle specific kinase antibody negative	454
Anti-myelin-associated glycoprotein associated polyneuropathy	455
Anti-neutrophil cytoplasmic antibody positive vasculitis	456
Anti-platelet antibody positive	457
Anti-thyroid antibody positive	458
Antiacetylcholine receptor antibody positive	459
Antiandrogen therapy	460
Antiangiogenic therapy	461
Antibiotic prophylaxis	462
Antibiotic therapy	463
Antibody test positive	464
Anticipatory anxiety	465
Antidepressant therapy	466
Antidiuretic hormone abnormality	467
Antifungal prophylaxis	468
Antifungal treatment	469
Antiinflammatory therapy	470
Antimicrobial susceptibility test	471
Antimitochondrial antibody positive	472
Antineutrophil cytoplasmic antibody	473
Antineutrophil cytoplasmic antibody increased	474
Antineutrophil cytoplasmic antibody positive	475
Antinuclear antibody	476
Antinuclear antibody increased	477
Antinuclear antibody positive	478
Antiphospholipid antibodies	479
Antiphospholipid antibodies positive	480
Antiphospholipid syndrome	481
Antiplatelet therapy	482
Antipyresis	483
Antiretroviral therapy	484
Antisocial behaviour	485
Antisocial personality disorder	486
Antisynthetase syndrome	487
Antithrombin III decreased	488
Antithrombin III deficiency	489
Antiviral prophylaxis	490
Antiviral treatment	491
Anuria	492
Anxiety	493
Anxiety disorder	494
Aorta hypoplasia	495
Aortic anastomosis	496
Aortic aneurysm	497
Aortic aneurysm repair	498
Aortic aneurysm rupture	499
Aortic arteriosclerosis	500
Aortic bypass	501
Aortic dilatation	502
Aortic disorder	503
Aortic dissection	504
Aortic dissection rupture	505
Aortic embolus	506
Aortic injury	507
Aortic occlusion	508
Aortic pseudoaneurysm	509
Aortic rupture	510
Aortic stenosis	511
Aortic stent insertion	512
Aortic surgery	513
Aortic thrombosis	514
Aortic valve atresia	515
Aortic valve calcification	516
Aortic valve disease	517
Aortic valve disease mixed	518
Aortic valve incompetence	519
Aortic valve prolapse	520
Aortic valve repair	521
Aortic valve replacement	522
Aortic valve sclerosis	523
Aortic valve stenosis	524
Aortic wall hypertrophy	525
Aorticopulmonary septal defect	526
Aorticopulmonary window repair	527
Aortitis	528
Aorto-oesophageal fistula	529
Aortogram	530
Apallic syndrome	531
Apathy	532
Apgar score low	533
Aphakia	534
Aphasia	535
Apheresis	536
Aphonia	537
Aphonia psychogenic	538
Aphthous ulcer	539
Apicectomy	540
Aplasia	541
Aplasia cutis congenita	542
Aplasia pure red cell	543
Aplastic anaemia	544
Apnoea	545
Apnoeic attack	546
Apocrine breast carcinoma	547
Apparent death	548
Appendiceal abscess	549
Appendiceal mucocoele	550
Appendicectomy	551
Appendicitis	552
Appendicitis perforated	553
Appendix cancer	554
Appetite disorder	555
Apraxia	556
Aptyalism	557
Aqueductal stenosis	558
Arachnoid cyst	559
Arcus lipoides	560
Areflexia	561
Arginase deficiency	562
Argininosuccinate synthetase deficiency	563
Arm amputation	564
Arnold-Chiari malformation	565
Aromatase inhibition therapy	566
Arrhythmia	567
Arrhythmia supraventricular	568
Arrhythmogenic right ventricular dysplasia	569
Arterectomy with graft replacement	570
Arterial angioplasty	571
Arterial bypass operation	572
Arterial catheterisation	573
Arterial disorder	574
Arterial haemorrhage	575
Arterial injury	576
Arterial insufficiency	577
Arterial intramural haematoma	578
Arterial ligation	579
Arterial occlusive disease	580
Arterial puncture	581
Arterial rupture	582
Arterial stenosis	583
Arterial stent insertion	584
Arterial switch operation	585
Arterial therapeutic procedure	586
Arterial thrombosis	587
Arterial wall hypertrophy	588
Arteriogram	589
Arteriosclerosis	590
Arteriosclerosis coronary artery	591
Arteriosclerotic gangrene	592
Arteriosclerotic retinopathy	593
Arteriospasm coronary	594
Arteriovenous fistula	595
Arteriovenous fistula occlusion	596
Arteriovenous fistula operation	597
Arteriovenous fistula site complication	598
Arteriovenous fistula site haemorrhage	599
Arteriovenous fistula thrombosis	600
Arteriovenous graft aneurysm	601
Arteriovenous graft site infection	602
Arteriovenous malformation	603
Arteritis	604
Artery dissection	605
Arthralgia	606
Arthritis	607
Arthritis bacterial	608
Arthritis enteropathic	609
Arthritis infective	610
Arthritis reactive	611
Arthrodesis	612
Arthropathy	613
Arthropod bite	614
Arthropod infestation	615
Arthropod scratch	616
Arthropod sting	617
Arthroscopic surgery	618
Arthroscopy	619
Articular calcification	620
Artificial blood vessel occlusion	621
Artificial heart device user	622
Artificial heart implant	623
Artificial insemination	624
Artificial menopause	625
Artificial skin graft	626
Asbestosis	627
Ascariasis	628
Ascites	629
Ash leaf macule	630
Aspartate aminotransferase	631
Aspartate aminotransferase abnormal	632
Aspartate aminotransferase increased	633
Aspergilloma	634
Aspergillus infection	635
Aspergillus test	636
Aspergillus test positive	637
Asphyxia	638
Aspiration	639
Aspiration joint	640
Aspiration pleural cavity	641
Aspirin-exacerbated respiratory disease	642
Asplenia	643
Assisted fertilisation	644
Asteatosis	645
Asterixis	646
Asthenia	647
Asthenopia	648
Asthma	649
Asthma exercise induced	650
Asthma-chronic obstructive pulmonary disease overlap syndrome	651
Astigmatism	652
Astrocytoma	653
Astrocytoma malignant	654
Astrocytoma, low grade	655
Asymptomatic HIV infection	656
Asymptomatic bacteriuria	657
Ataxia	658
Ataxia telangiectasia	659
Atelectasis	660
Atheroembolism	661
Athetosis	662
Atlantoaxial instability	663
Atonic seizures	664
Atopic keratoconjunctivitis	665
Atopy	666
Atrial fibrillation	667
Atrial flutter	668
Atrial hypertrophy	669
Atrial pressure increased	670
Atrial septal defect	671
Atrial septal defect repair	672
Atrial switch operation	673
Atrial tachycardia	674
Atrial thrombosis	675
Atrioventricular block	676
Atrioventricular block complete	677
Atrioventricular block first degree	678
Atrioventricular block second degree	679
Atrioventricular dissociation	680
Atrioventricular septal defect	681
Atrophic thyroiditis	682
Atrophic vulvovaginitis	683
Atrophy	684
Atrophy of globe	685
Attention deficit hyperactivity disorder	686
Atypical benign partial epilepsy	687
Atypical femur fracture	688
Atypical haemolytic uraemic syndrome	689
Atypical mycobacterial infection	690
Atypical mycobacterial lower respiratory tract infection	691
Atypical mycobacterial pneumonia	692
Atypical mycobacterium test positive	693
Atypical pneumonia	694
Atypical teratoid/rhabdoid tumour of CNS	695
Auditory disorder	696
Auricular swelling	697
Autism spectrum disorder	698
Autoantibody positive	699
Autoimmune aplastic anaemia	700
Autoimmune arthritis	701
Autoimmune colitis	702
Autoimmune dermatitis	703
Autoimmune disorder	704
Autoimmune haemolytic anaemia	705
Autoimmune hepatitis	706
Autoimmune hypothyroidism	707
Autoimmune lymphoproliferative syndrome	708
Autoimmune nephritis	709
Autoimmune neutropenia	710
Autoimmune pancreatitis	711
Autoimmune pancytopenia	712
Autoimmune thyroiditis	713
Autoinflammatory disease	714
Autologous haematopoietic stem cell transplant	715
Automatism	716
Autonomic dysreflexia	717
Autonomic nervous system imbalance	718
Autonomic neuropathy	719
Autonomic seizure	720
Autosomal chromosome anomaly	721
Autotransfusion	722
Avoidant personality disorder	723
Avulsion fracture	724
Axillary lymphadenectomy	725
Axillary mass	726
Axillary vein thrombosis	727
Azoospermia	728
Azotaemia	729
B precursor type acute leukaemia	730
B-cell lymphoma	731
B-cell lymphoma recurrent	732
B-cell lymphoma stage III	733
B-cell lymphoma stage IV	734
B-cell prolymphocytic leukaemia	735
B-cell small lymphocytic lymphoma	736
B-cell small lymphocytic lymphoma recurrent	737
B-cell small lymphocytic lymphoma refractory	738
B-cell small lymphocytic lymphoma stage III	739
B-cell type acute leukaemia	740
B-cell unclassifiable lymphoma high grade	741
B-lymphocyte count decreased	742
BK virus infection	743
BRAF V600E mutation positive	744
BRAF gene mutation	745
BRCA1 gene mutation	746
BRCA2 gene mutation	747
Bacillus infection	748
Back disorder	749
Back injury	750
Back pain	751
Bacteraemia	752
Bacterascites	753
Bacterial abdominal infection	754
Bacterial dacryocystitis	755
Bacterial disease carrier	756
Bacterial infection	757
Bacterial prostatitis	758
Bacterial pyelonephritis	759
Bacterial sepsis	760
Bacterial test	761
Bacterial test positive	762
Bacterial vaginosis	763
Bacterial vulvovaginitis	764
Bacteriuria	765
Bacteroides bacteraemia	766
Bacteroides infection	767
Balance disorder	768
Balanoposthitis	769
Ballismus	770
Barrett's oesophagus	771
Bartholin's abscess	772
Bartholin's cyst	773
Bartonellosis	774
Bartter's syndrome	775
Basal cell carcinoma	776
Basal cell naevus syndrome	777
Basal ganglia infarction	778
Basal ganglion degeneration	779
Basedow's disease	780
Basilar artery aneurysm	781
Basilar artery occlusion	782
Basilar artery stenosis	783
Basilar artery thrombosis	784
Basophil count increased	785
Basosquamous carcinoma	786
Becker's muscular dystrophy	787
Beckwith-Wiedemann syndrome	788
Bed rest	789
Bedridden	790
Behaviour disorder	791
Behavioural therapy	792
Behcet's syndrome	793
Bell's palsy	794
Belligerence	795
Bence Jones protein urine present	796
Benign bone neoplasm	797
Benign breast neoplasm	798
Benign familial haematuria	799
Benign familial neonatal convulsions	800
Benign familial pemphigus	801
Benign gastric neoplasm	802
Benign gastrointestinal neoplasm	803
Benign hepatic neoplasm	804
Benign hydatidiform mole	805
Benign lung neoplasm	806
Benign mediastinal neoplasm	807
Benign neoplasm	808
Benign neoplasm of adrenal gland	809
Benign neoplasm of choroid	810
Benign neoplasm of spinal cord	811
Benign neoplasm of thyroid gland	812
Benign ovarian tumour	813
Benign pancreatic neoplasm	814
Benign prostatic hyperplasia	815
Benign renal neoplasm	816
Benign rolandic epilepsy	817
Benign small intestinal neoplasm	818
Benign spleen tumour	819
Benign tumour excision	820
Benign uterine neoplasm	821
Berylliosis	822
Beta 2 microglobulin increased	823
Beta 2 microglobulin urine increased	824
Beta haemolytic streptococcal infection	825
Beta-N-acetyl-D-glucosaminidase increased	826
Bickerstaff's encephalitis	827
Bicuspid aortic valve	828
Bicuspid pulmonary valve	829
Bicytopenia	830
Bifascicular block	831
Bile duct adenocarcinoma	832
Bile duct cancer	833
Bile duct cancer recurrent	834
Bile duct cancer stage I	835
Bile duct cancer stage II	836
Bile duct cancer stage III	837
Bile duct cancer stage IV	838
Bile duct stenosis	839
Bile duct stent insertion	840
Bile duct stone	841
Bilevel positive airway pressure	842
Biliary anastomosis complication	843
Biliary cancer metastatic	844
Biliary catheter insertion	845
Biliary cirrhosis	846
Biliary colic	847
Biliary dilatation	848
Biliary dyskinesia	849
Biliary fistula	850
Biliary hamartoma	851
Biliary ischaemia	852
Biliary neoplasm	853
Biliary obstruction	854
Biliary sphincterotomy	855
Biliary tract disorder	856
Biliary tract infection	857
Biliary tract operation	858
Bilirubin conjugated increased	859
Biloma	860
Bing-Neel syndrome	861
Binocular eye movement disorder	862
Biopsy	863
Biopsy bone	864
Biopsy hypopharynx	865
Biopsy liver	866
Biopsy lymph gland	867
Biopsy lymph gland abnormal	868
Biopsy prostate	869
Biopsy skin	870
Biopsy spinal cord abnormal	871
Biopsy stomach	872
Bipolar I disorder	873
Bipolar II disorder	874
Bipolar disorder	875
Bipolar disorder relapse prophylaxis	876
Birth mark	877
Birth trauma	878
Bladder adenocarcinoma stage unspecified	879
Bladder calculus removal	880
Bladder cancer	881
Bladder cancer recurrent	882
Bladder cancer stage 0, with cancer in situ	883
Bladder cancer stage I, with cancer in situ	884
Bladder cancer stage I, without cancer in situ	885
Bladder cancer stage II	886
Bladder cancer stage III	887
Bladder cancer stage IV	888
Bladder candidiasis	889
Bladder catheter removal	890
Bladder catheterisation	891
Bladder dilatation	892
Bladder discomfort	893
Bladder disorder	894
Bladder diverticulum	895
Bladder dysfunction	896
Bladder hypertrophy	897
Bladder injury	898
Bladder irrigation	899
Bladder irritation	900
Bladder mass	901
Bladder neoplasm	902
Bladder neoplasm surgery	903
Bladder operation	904
Bladder perforation	905
Bladder prolapse	906
Bladder squamous cell carcinoma stage III	907
Bladder squamous cell carcinoma stage unspecified	908
Bladder stenosis	909
Bladder tamponade	910
Bladder transitional cell carcinoma	911
Bladder transitional cell carcinoma recurrent	912
Bladder transitional cell carcinoma stage 0	913
Bladder transitional cell carcinoma stage II	914
Bladder transitional cell carcinoma stage III	915
Bladder transitional cell carcinoma stage IV	916
Blast cell count increased	917
Blast cell crisis	918
Blast cells	919
Blast cells present	920
Blast crisis in myelogenous leukaemia	921
Blastic plasmacytoid dendritic cell neoplasia	922
Bleeding time prolonged	923
Blepharal pigmentation	924
Blepharitis	925
Blepharochalasis	926
Blepharospasm	927
Blindness	928
Blindness cortical	929
Blindness transient	930
Blindness traumatic	931
Blindness unilateral	932
Blister	933
Blood albumin decreased	934
Blood albumin increased	935
Blood aldosterone increased	936
Blood alkaline phosphatase abnormal	937
Blood alkaline phosphatase decreased	938
Blood alkaline phosphatase increased	939
Blood antidiuretic hormone decreased	940
Blood antidiuretic hormone increased	941
Blood beta-D-glucan increased	942
Blood beta-D-glucan normal	943
Blood bilirubin abnormal	944
Blood bilirubin decreased	945
Blood bilirubin increased	946
Blood calcitonin increased	947
Blood calcium decreased	948
Blood calcium increased	949
Blood catecholamines abnormal	950
Blood catecholamines increased	951
Blood cholesterol	952
Blood cholesterol abnormal	953
Blood cholesterol decreased	954
Blood cholesterol increased	955
Blood cholinesterase decreased	956
Blood cholinesterase increased	957
Blood corticotrophin abnormal	958
Blood corticotrophin increased	959
Blood count abnormal	960
Blood creatine increased	961
Blood creatine phosphokinase abnormal	962
Blood creatine phosphokinase decreased	963
Blood creatine phosphokinase increased	964
Blood creatinine	965
Blood creatinine abnormal	966
Blood creatinine decreased	967
Blood creatinine increased	968
Blood culture positive	969
Blood disorder	970
Blood donor	971
Blood erythropoietin increased	972
Blood fibrinogen increased	973
Blood folate decreased	974
Blood follicle stimulating hormone abnormal	975
Blood follicle stimulating hormone decreased	976
Blood glucose	977
Blood glucose abnormal	978
Blood glucose decreased	979
Blood glucose fluctuation	980
Blood glucose increased	981
Blood gonadotrophin decreased	982
Blood group A	983
Blood group B	984
Blood group O	985
Blood growth hormone increased	986
Blood immunoglobulin A decreased	987
Blood immunoglobulin E	988
Blood immunoglobulin E increased	989
Blood immunoglobulin G decreased	990
Blood immunoglobulin M decreased	991
Blood immunoglobulin M increased	992
Blood insulin	993
Blood iron increased	994
Blood lactate dehydrogenase abnormal	995
Blood lactate dehydrogenase decreased	996
Blood lactate dehydrogenase increased	997
Blood loss anaemia	998
Blood luteinising hormone abnormal	999
Blood luteinising hormone decreased	1000
Blood osmolarity increased	1001
Blood pH decreased	1002
Blood parathyroid hormone increased	1003
Blood phosphorus abnormal	1004
Blood phosphorus decreased	1005
Blood phosphorus increased	1006
Blood potassium abnormal	1007
Blood potassium decreased	1008
Blood potassium increased	1009
Blood pressure abnormal	1010
Blood pressure decreased	1011
Blood pressure diastolic decreased	1012
Blood pressure diastolic increased	1013
Blood pressure fluctuation	1014
Blood pressure inadequately controlled	1015
Blood pressure increased	1016
Blood pressure management	1017
Blood pressure measurement	1018
Blood pressure systolic	1019
Blood pressure systolic decreased	1020
Blood pressure systolic increased	1021
Blood product transfusion dependent	1022
Blood prolactin increased	1023
Blood pyruvic acid increased	1024
Blood sodium abnormal	1025
Blood sodium decreased	1026
Blood sodium increased	1027
Blood testosterone decreased	1028
Blood testosterone increased	1029
Blood thyroid stimulating hormone	1030
Blood thyroid stimulating hormone abnormal	1031
Blood thyroid stimulating hormone decreased	1032
Blood thyroid stimulating hormone increased	1033
Blood triglycerides	1034
Blood triglycerides abnormal	1035
Blood triglycerides increased	1036
Blood urea abnormal	1037
Blood urea increased	1038
Blood uric acid	1039
Blood uric acid abnormal	1040
Blood uric acid decreased	1041
Blood uric acid increased	1042
Blood urine present	1043
Blood zinc decreased	1044
Bloom syndrome	1045
Blue toe syndrome	1046
Blunted affect	1047
Body height below normal	1048
Body mass index	1049
Body mass index abnormal	1050
Body mass index decreased	1051
Body mass index increased	1052
Body mass index normal	1053
Body temperature	1054
Body temperature increased	1055
Body tinea	1056
Bone abscess	1057
Bone cancer	1058
Bone cancer metastatic	1059
