ActiveIngredientFromProductName	ActiveIngredientFromProductNameId
docetaxel	505
dolutegravir	506
dolutegravir and lamivudine	507
dolutegravir sodium	508
dolutegravir sodium and rilpivirine hydrochloride	509
dolutegravir, abacavir and lamivudine	510
domiphen bromide	511
domperidone	512
donepezil	513
donepezil hydrochloride	514
dopamine	515
dopamine hydrochloride	516
doripenem hydrate	517
dorzolamide	518
dorzolamide hydrochloride	519
dorzolamide hydrochloride and timolol maleate	520
dotinurad	521
doxapram hydrochloride	522
doxazosin	523
doxazosin mesylate	524
doxifluridine	525
doxorubicin hydrochloride	526
doxycycline hyclate	527
droperidol	528
drospirenone and ethinylestradiol	529
drotebanol	530
droxidopa	531
dulaglutide	532
duloxetine hydrochloride	533
dupilumab	534
durvalumab	535
dutasteride	536
dydrogesterone	537
ebastine	538
eculizumab	539
edaravone	540
efavirenz	541
efinaconazole	542
efraloctocog alfa	543
eftrenonacog alfa	544
elbasvir	545
elcatonin	546
eldecalcitol	547
eletriptan	548
eletriptan hydrobromide	549
eliglustat tartrate	550
elosulfase alfa	551
elotuzumab	552
eltrombopag olamine	553
elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide	554
elvitegravir, cobicistat, emtricitabine and tenofovir disoproxil	555
emedastine difumarate	556
emicizumab	557
empagliflozin	558
empagliflozin and linagliptin	559
emtricitabine	560
emtricitabine and tenofovir alafenamide	561
emtricitabine and tenofovir disoproxil	562
emtricitabine, rilpivirine and tenofovir alafenamide	563
enalapril	564
enalapril maleate	565
encorafenib	566
enoxaparin sodium	567
entacapone	568
entecavir	569
entrectinib	570
enviomycin sulfate	571
enzalutamide	572
epalrestat	573
epelsiban	574
eperisone	575
eperisone hydrochloride	576
eperizone	577
ephedrine	578
epinastine	579
epinastine hydrochloride	580
epinephrine	581
epinephrine and lidocaine hydrochloride	582
epirubicin hydrochloride	583
eplerenone	584
epoetin alfa	585
epoetin beta	586
epoetin kappa	587
epoprostenol	588
epoprostenol sodium	589
eprazinone hydrochloride	590
eptacog alfa	591
eptacog alpha	592
ergoloid mesylate	593
ergometrine	594
eribulin mesylate	595
erlotinib hydrochloride	596
erythromycin	597
erythromycin ethylsuccinate	598
esaxerenone	599
escitalopram oxalate	600
esmolol hydrochloride	601
esomeprazole magnesium	602
estazolam	603
estraderm	604
estradiol	605
estradiol and levonorgestrel	606
estradiol and norethindrone	607
estradiol benzoate	608
estradiol valerate	609
estriol	610
estriol propionate	611
eszopiclone	612
etanercept	613
etelcalcetide hydrochloride	614
ethambutol hydrochloride	615
ethanolamine oleate	616
ethinylestradiol	617
ethinylestradiol and levonorgestrel	618
ethinylestradiol and norethisterone	619
ethionamide	620
ethosuximide	621
ethotoin	622
ethyl eicosapentaenoic acid	623
ethyl icosapentate	624
ethyl loflazepate	625
ethyl piperidinoacetylaminobenzoate	626
ethynodiol	627
etidronate disodium	628
etilefrine	629
etilefrine hydrochloride	630
etizolam	631
etodolac	632
etoposide	633
etravirine	634
etretinate	635
everolimus	636
evocalcet	637
evolocumab	638
exemestane	639
exenatide	640
exjade	641
ezetimibe	642
ezetimibe and atorvastatin	643
ezetimibe and rosuvastatin	644
famciclovir	645
famotidine	646
farmorubicin	647
favipiravir	648
febuxostat	649
felbinac	650
felodipine	651
fenofibrate	652
fenoprofen	653
fenoterol hydrobromide	654
fentanyl	655
fentanyl citrate	656
ferric carboxymaltose	657
ferric chloride, manganese chloride, zinc sulfate, cupric sulfate and potassium iodide	658
ferric citrate hydrate	659
ferrous fumarate	660
fesoterodine fumarate	661
fexofenadine	662
fexofenadine hydrochloride	663
fexofenadine hydrochloride and pseudoephedrine hydrochloride	664
fidaxomicin	665
filgotinib maleate	666
filgrastim	667
finasteride	668
fingolimod hydrochloride	669
flavoxate	670
flavoxate hydrochloride	671
flecainide acetate	672
fleroxacin	673
flomoxef sodium	674
fluconazole	675
flucytosine	676
fludarabine phosphate	677
fludiazepam	678
fludrocortisone acetate	679
flumazenil	680
flunitrazepam	681
fluorescein	682
fluorometholone	683
fluorouracil	684
fluothane	685
fluphenazine	686
fluphenazine decanoate	687
flurbiprofen	688
flurbiprofen axetil	689
flutamide	690
fluticasone	691
fluticasone furoate	692
fluticasone furoate, umeclidinium bromide and vilanterol	693
fluticasone propionate	694
fluvastatin	695
fluvastatin sodium	696
fluvoxamine maleate	697
folic acid	698
folinic acid	699
follitropin alfa	700
follitropin beta	701
fondaparinux sodium	702
formalin and cresol	703
formalin and guaiacol	704
forodesine hydrochloride	705
fosaprepitant dimeglumine	706
fosfomycin	707
fosfomycin calcium hydrate	708
fosfomycin sodium	709
fosravuconazole l-lysine ethanolate	710
fradiomycin	711
fulvestrant	712
furosemide	713
gabapentin	714
gabapentin enacarbil	715
gadodiamide hydrate	716
gadoterate meglumine	717
gadoxetate disodium	718
galantamine	719
galantamine hydrobromide	720
ganciclovir	721
ganirelix acetate	722
garenoxacin mesylate	723
gatifloxacin	724
gefitinib	725
gelatin	726
gemcitabine	727
gemcitabine hydrochloride	728
gemeprost	729
gentamicin	730
gentamicin sulfate	731
gentiana lutea	732
gestonorone caproate	733
gilteritinib fumarate	734
gimeracil	735
glatiramer acetate	736
glecaprevir and pibrentasvir	737
glibenclamide	738
gliclazide	739
glimepiride	740
glucagon	741
glucose	742
glucurolactone	743
glutaral	744
glutaraldehyde	745
glutathione	746
glycerin	747
glycerol	748
glycopyrronium bromide	749
glycopyrronium bromide and indacaterol maleate	750
glycyrrhiza	751
gold sodium thiomalate	752
golimumab	753
gonadotropin, chorionic	754
goserelin acetate	755
granisetron	756
granisetron hydrochloride	757
grazoprevir	758
griseofulvin	759
guanabenz acetate	760
guanfacine hydrochloride	761
guselkumab	762
haloperidol	763
haloperidol decanoate	764
haloxazolam	765
hcg	766
hemin	767
heparin	768
hepronicate	769
hepronicate  vitamin b1  allium sativum	770
hetastarch	771
hexabrix 320	772
histamine dihydrochloride and human normal immunoglobulin	773
hmg	774
homosulfamine	775
humalog mix	776
humalog n	777
human anti-thrombin iii, freeze-dried concentrated	778
human interferon beta	779
humulin 30/70	780
humulin n	781
humulin r	782
hyaluronate sodium	783
hyaluronic acid	784
hydralazine	785
hydralazine hydrochloride	786
hydrazide	787
hydrochlorothiazide	788
hydrocortisone	789
hydrocortisone acetate, diphenhydramine hydrochloride and fradiomycin sulfate	790
hydrocortisone and killed escherichia coli suspension	791
hydrocortisone butyrate	792
hydrocortisone probutate	793
hydrocortisone sodium phosphate	794
hydrocortisone sodium succinate	795
hydrocortisone, fradiomycin sulfate, dibucaine hydrochloride and esculoside	796
hydromorphone hydrochloride	797
hydrotalcite	798
hydroxocobalamin	799
hydroxocobalamin and isotonic sodium chloride solution	800
hydroxycarbamide	801
hydroxychloroquine sulfate	802
hydroxyprogesterone caproate	803
hydroxyzine	804
hydroxyzine hydrochloride	805
ibandronate sodium	806
ibrutinib	807
ibudilast	808
ibuprofen	809
ibuprofen lysine	810
icatibant acetate	811
icosapent	812
icosapent ethyl	813
idarubicin hydrochloride	814
idarucizumab	815
idursulfase	816
ifenprodil	817
ifenprodil tartrate	818
ifosfamide	819
iguratimod	820
iloprost	821
imatinib	822
imatinib mesylate	823
imidafenacin	824
imidapril	825
imidapril hydrochloride	826
imiglucerase	827
imipenem	828
imipenem and cilastatin sodium	829
imipramine hydrochloride	830
imiquimod	831
indacaterol acetate, glycopyrronium bromide and mometasone furoate	832
indacaterol maleate	833
indapamide	834
inderal la	835
indinavir	836
indocyanine green	837
indometacin	838
indomethacin	839
indomethacin sodium	840
infliximab	841
infusion	842
inotuzumab ozogamicin	843
insulin	844
insulin 30r	845
insulin 50r	846
insulin aspart	847
insulin degludec	848
insulin degludec and liraglutide	849
insulin detemir	850
insulin glargine	851
insulin glargine and lixisenatide	852
insulin glulisine	853
insulin lispro	854
insulin n	855
insulin r	856
interferon alfa	857
interferon alfa-2a	858
interferon alfa-2b	859
interferon alfacon-1	860
interferon alpha	861
interferon beta	862
interferon beta-1a	863
interferon beta-1b	864
interferon gamma 1a	865
intraocular ophthalmic irrigation	866
inulin	867
invirase	868
iodixanol	869
iodoform	870
iopromide	871
iothalamate meglumine	872
iotrolan	873
iotroxate meglumine	874
ipilimumab	875
ipragliflozin l-proline	876
ipratropium bromide	877
ipriflavone	878
irbesartan	879
irbesartan and amlodipine besilate	880
irbesartan and trichlormethiazide	881
irinotecan hydrochloride	882
iron sucrose	883
isatuximab	884
isoconazole	885
isoflurane	886
isoniazid	887
isoprenaline	888
isoproterenol hydrochloride	889
isosorbide	890
isosorbide dinitrate	891
isosorbide mononitrate	892
isosorbide nitrate	893
isoxsuprine hydrochloride	894
istradefylline	895
itopride hydrochloride	896
itraconazole	897
ivabradine hydrochloride	898
ivermectin	899
ixazomib citrate	900
ixekizumab	901
japanese encephalitis vaccine	902
josamycin	903
jujube	904
kadian	905
kallidinogenase	906
kallikrein	907
kanamycin sulfate	908
kasal	909
kenalog	910
ketamine hydrochloride	911
ketoconazole	912
ketoprofen	913
ketotifen	914
ketotifen fumarate	915
l-carbocisteine	916
l-isoleucine, l-leucine and l-valine	917
l-menthol	918
labetalol hydrochloride	919
lacosamide	920
lactobacillus casei	921
lactulose	922
lafutidine	923
lamivudine	924
lamotrigine	925
landiolol hydrochloride	926
lanreotide acetate	927
lansoprazole	928
lanthanum carbonate	929
lantus	930
lapatinib ditosylate	931
laronidase	932
latanoprost	933
latanoprost and timolol maleate	934
ledipasvir and sofosbuvir	935
leflunomide	936
lemborexant	937
lenograstim	938
lentinan	939
lenvatinib mesylate	940
letermovir	941
letrozole	942
leucovorin calcium	943
leuprolide acetate	944
leuprorelin	945
levetiracetam	946
levobunolol	947
levobupivacaine hydrochloride	948
levocabastine	949
levocabastine hydrochloride	950
levocarnitine	951
levocetirizine dihydrochloride	952
levodopa	953
levodopa and benserazide hydrochloride	954
levofloxacin	955
levonorgestrel	956
levothyroxine	957
levothyroxine sodium	958
lidocaine	959
lidocaine and prilocaine	960
lidocaine hydrochloride	961
lidocaine hydrochloride and epinephrine bitartrate	962
limaprost	963
limaprost alfadex	964
linaclotide	965
linagliptin	966
linesterol	967
linezolid	968
liothyronine sodium	969
lipase	970
liraglutide	971
lisdexamfetamine dimesylate	972
lisinopril	973
lithium	974
lithium carbonate	975
lixisenatide	976
lomefloxacin	977
lomefloxacin hydrochloride	978
lomitapide mesylate	979
loperamide	980
loperamide hydrochloride	981
lopinavir and ritonavir	982
loratadine	983
lorazepam	984
lorlatinib	985
lormetazepam	986
lornoxicam	987
losartan	988
losartan potassium	989
losartan potassium and hydrochlorothiazide	990
lubiprostone	991
luliconazole	992
lurasidone hydrochloride	993
lusutrombopag	994
lycium	995
lyrica	996
macitentan	997
macrogol	998
macrogol 4000, sodium chloride, sodium bicarbonate and potassium chloride	999
magnesium	1000
magnesium aluminium silicate	1001
magnesium aspartate	1002
magnesium carbonate	1003
magnesium citrate	1004
magnesium hydroxide	1005
magnesium oxide	1006
magnesium sulfate	1007
mallotus japonicus	1008
manganese chloride	1009
mannitol	1010
maprotiline	1011
maprotiline hydrochloride	1012
maraviroc	1013
maxacalcitol	1014
mazindol	1015
mecasermin	1016
mecobalamin	1017
medroxyprogesterone	1018
medroxyprogesterone acetate	1019
mefenamic acid	1020
mefloquine hydrochloride	1021
mefruside	1022
melatonin	1023
meloxicam	1024
melphalan	1025
memantine	1026
memantine hydrochloride	1027
menatetrenone	1028
menotropins	1029
mentronidazole	1030
mepenzolate	1031
mepenzolate bromide	1032
mepirizole	1033
mepivacaine hydrochloride	1034
mepolizumab	1035
mequitazine	1036
mercaptopurine	1037
meropenem	1038
mesalazine	1039
mesna	1040
mestranol	1041
metformin	1042
metformin hydrochloride	1043
methadone hydrochloride	1044
methamphetamine hydrochloride	1045
methenamine	1046
methotrexate	1047
methoxsalen	1048
methyldopa	1049
methylephedrine	1050
methylergomethrine	1051
methylergometrine	1052
methylphenidate hydrochloride	1053
methylprednisolone	1054
methylprednisolone acetate	1055
methylprednisolone sodium succinate	1056
methyltestosterone	1057
meticrane	1058
metildigoxin	1059
metoclopramide	1060
metoprolol	1061
metoprolol tartrate	1062
metrate	1063
metreleptin	1064
metronidazole	1065
metyrapone	1066
mexiletine	1067
mexiletine hydrochloride	1068
mianserin hydrochloride	1069
micafungin sodium	1070
miconazole	1071
midazolam	1072
midodrine	1073
midodrine hydrochloride	1074
migalastat hydrochloride	1075
miglitol	1076
miglustat	1077
milnacipran hydrochloride	1078
milrinone	1079
minocycline	1080
minocycline hydrochloride	1081
minoxidil	1082
mirabegron	1083
mirtazapine	1084
misoprostol	1085
mitiglinide	1086
mitiglinide calcium hydrate and voglibose	1087
mitomycin	1088
mitotane	1089
mitoxantrone hydrochloride	1090
mizoribine	1091
modafinil	1092
mogamulizumab	1093
mometasone	1094
mometasone furoate	1095
montelukast	1096
montelukast sodium	1097
monteplase	1098
morfin	1099
morphine	1100
morphine sulfate	1101
moxifloxacin hydrochloride	1102
mupirocin calcium	1103
mycophenolate mofetil	1104
nabumetone	1105
nadifloxacin	1106
nadroparin calcium	1107
nafamostat	1108
nafamostat mesylate	1109
nafarelin	1110
nafarelin acetate	1111
naftopidil	1112
naldemedine tosylate	1113
nalidix acid	1114
nalidixic acid	1115
naloxone	1116
naphazoline nitrate	1117
naproxen	1118
naratriptan hydrochloride	1119
natalizumab	1120
natamycin	1121
nateglinide	1122
necitumumab	1123
nedaplatin	1124
nelarabine	1125
nelfinavir	1126
neomycin	1127
neomycin sulfate	1128
neostigmine bromide	1129
neostigmine methylsulfate and atropine sulfate	1130
nepafenac	1131
nevirapine	1132
nicardipine	1133
nicardipine hydrochloride	1134
nicergoline	1135
niceritrol	1136
nicorandil	1137
nicorette	1138
nicotinamide	1139
nicotine	1140
nifedipine	1141
nifekalant hydrochloride	1142
nilvadipine	1143
nimustine hydrochloride	1144
nintedanib esylate	1145
nisoldipine	1146
nitrazepam	1147
nitrendipin	1148
nitrendipine	1149
nitric oxide	1150
nitroglycerin	1151
nitrous oxide	1152
nivolumab	1153
nizatidine	1154
nomatch	1155
nonacog alfa	1156
nonacog beta pegol	1157
norepinephrine	1158
norethindrone	1159
norethisterone	1160
norfloxacin	1161
norpace cr	1162
nortriptyline hydrochloride	1163
norvasc	1164
noscapine	1165
novolet r	1166
novolin n	1167
novolin r	1168
novorapid 30 mix	1169
novorapid 50 mix	1170
novorapid 70 mix	1171
nusinersen sodium	1172
obinutuzumab	1173
octotiamine, riboflavin, pyridoxine hydrochloride and cyanocobalamin	1174
octreotide	1175
octreotide acetate	1176
ofatumumab	1177
ofloxacin	1178
olanzapine	1179
olaparib	1180
olmesartan	1181
olmesartan medoxomil	1182
olmesartan medoxomil and azelnidipine	1183
olopatadine	1184
olopatadine hydrochloride	1185
omalizumab	1186
omarigliptin	1187
ombitasvir	1188
omeprazol	1189
omeprazole	1190
omidenepag isopropyl	1191
onasemnogene abeparvovec	1192
ophiopogon	1193
opicapone	1194
orciprenaline	1195
oryzanol	1196
oryzanol  vitamin b12  vitamin e	1197
oseltamivir	1198
oseltamivir phosphate	1199
osimertinib mesylate	1200
oteracil	1201
others	1202
oxaliplatin	1203
oxaprozin	1204
oxatimide	1205
oxatomide	1206
oxcarbazepine	1207
oxetacaine	1208
oxiconazole nitrate	1209
oxiglutatione	1210
oxitropium	1211
oxoamidine	1212
oxprenolol	1213
oxybutynin	1214
oxybutynin chloride	1215
oxygen	1216
oxypertine	1217
oxytetracycline hydrochloride	1218
oxytetracycline hydrochloride and hydrocortisone	1219
oxytocin	1220
ozagrel	1221
ozagrel sodium	1222
ozenoxacin	1223
paclitaxel	1224
palbociclib	1225
paliperidone	1226
paliperidone palmitate	1227
palivizumab	1228
palonosetron hydrochloride	1229
pamidronate disodium	1230
panapidin	1231
panax ginseng	1232
pancrelipase	1233
pancuronium	1234
panitumumab	1235
panobinostat lactate	1236
pantethine	1237
paracetamol	1238
paramethasone	1239
paritaprevir	1240
parnaparin sodium	1241
paromomycin sulfate	1242
paroxetine	1243
paroxetine hydrochloride hemihydrate	1244
patisiran sodium	1245
paxil cr	1246
pazopanib hydrochloride	1247
pazufloxacin mesilate	1248
pegaptanib	1249
pegfilgrastim	1250
peginterferon alfa-2a	1251
peginterferon alfa-2b	1252
pegvisomant	1253
pemafibrate	1254
pembrolizumab	1255
pemirolast	1256
pemirolast potassium	1257
pemoline	1258
penicillamine	1259
penicillin g potassium	1260
pentamidine isethionate	1261
pentazocine	1262
pentobarbital	1263
pentostatin	1264
pentoxyverine	1265
peramivir	1266
perampanel hydrate	1267
perflubutane	1268
pergolide mesylate	1269
perindopril	1270
perindopril erbumine	1271
perphenazine	1272
pertuzumab	1273
pethidine	1274
phenobarbital	1275
phenobarbital sodium	1276
phenothrin	1277
phenylephrine	1278
phenylephrine hydrochloride	1279
phenytoin	1280
photofrin	1281
pilocarpine hydrochloride	1282
pimobendan	1283
pimozide	1284
pioglitazone	1285
