AdverseEventPreferredTerm	AdverseEventPreferredTermId
Alanine aminotransferase increased	263
Albumin urine present	264
Alcohol abuse	265
Alcohol interaction	266
Alcohol intolerance	267
Alcohol poisoning	268
Alcohol withdrawal syndrome	269
Alcoholic ketoacidosis	270
Alcoholic liver disease	271
Alcoholic pancreatitis	272
Alcoholism	273
Aldolase increased	274
Alexander disease	275
Alice in wonderland syndrome	276
Alkalosis	277
Alkalosis hypokalaemic	278
Allergic bronchitis	279
Allergic bronchopulmonary mycosis	280
Allergic cough	281
Allergic cystitis	282
Allergic eosinophilia	283
Allergic hepatitis	284
Allergic oedema	285
Allergic reaction to excipient	286
Allergic respiratory disease	287
Allergic respiratory symptom	288
Allergy test positive	289
Allergy to arthropod bite	290
Allergy to chemicals	291
Allergy to metals	292
Allodynia	293
Alopecia	294
Alopecia areata	295
Alopecia scarring	296
Alopecia totalis	297
Alopecia universalis	298
Alpha 1 foetoprotein increased	299
Alpha haemolytic streptococcal infection	300
Altered state of consciousness	301
Alternaria infection	302
Alveolar osteitis	303
Alveolar proteinosis	304
Alveolar soft part sarcoma	305
Alveolitis	306
Amaurosis	307
Amaurosis fugax	308
Amblyopia	309
Amegakaryocytic thrombocytopenia	310
Ameloblastoma	311
Amenorrhoea	312
Amimia	313
Amino acid level	314
Amino acid level decreased	315
Aminoaciduria	316
Ammonia increased	317
Amnesia	318
Amnestic disorder	319
Amniorrhexis	320
Amniotic band syndrome	321
Amniotic cavity infection	322
Amniotic fluid index decreased	323
Amniotic fluid volume decreased	324
Amoebiasis	325
Amoebic brain abscess	326
Amoebic colitis	327
Amoebic dysentery	328
Amoebic skin ulcer	329
Amputation	330
Amputation stump pain	331
Amylase abnormal	332
Amylase decreased	333
Amylase increased	334
Amyloidoma	335
Amyloidosis	336
Amyotrophic lateral sclerosis	337
Amyotrophy	338
Anaemia	339
Anaemia Heinz body	340
Anaemia folate deficiency	341
Anaemia macrocytic	342
Anaemia megaloblastic	343
Anaemia neonatal	344
Anaemia of pregnancy	345
Anaemia vitamin B12 deficiency	346
Anaesthesia	347
Anaesthesia oral	348
Anaesthetic complication	349
Anaesthetic complication neurological	350
Anal abscess	351
Anal atresia	352
Anal cancer	353
Anal cancer stage IV	354
Anal erosion	355
Anal erythema	356
Anal fissure	357
Anal fissure haemorrhage	358
Anal fistula	359
Anal haemorrhage	360
Anal incontinence	361
Anal infection	362
Anal inflammation	363
Anal injury	364
Anal neoplasm	365
Anal polyp	366
Anal prolapse	367
Anal pruritus	368
Anal sphincter atony	369
Anal squamous cell carcinoma	370
Anal stenosis	371
Anal ulcer	372
Analgesic drug level increased	373
Anaphylactic reaction	374
Anaphylactic shock	375
Anaphylactoid reaction	376
Anaphylactoid shock	377
Anaphylactoid syndrome of pregnancy	378
Anaplastic astrocytoma	379
Anaplastic large cell lymphoma T- and null-cell types	380
Anaplastic large cell lymphoma T- and null-cell types refractory	381
Anaplastic large-cell lymphoma	382
Anaplastic meningioma	383
Anaplastic thyroid cancer	384
Anastomotic complication	385
Anastomotic fistula	386
Anastomotic haemorrhage	387
Anastomotic infection	388
Anastomotic leak	389
Anastomotic stenosis	390
Anastomotic ulcer	391
Anastomotic ulcer haemorrhage	392
Anastomotic ulcer perforation	393
Androgen deficiency	394
Androgenetic alopecia	395
Anembryonic gestation	396
Anencephaly	397
Aneurysm	398
Aneurysm ruptured	399
Anger	400
Angina bullosa haemorrhagica	401
Angina pectoris	402
Angina unstable	403
Anginal equivalent	404
Angiocentric lymphoma	405
Angiodysplasia	406
Angioedema	407
Angioimmunoblastic T-cell lymphoma	408
Angioimmunoblastic T-cell lymphoma recurrent	409
Angioimmunoblastic T-cell lymphoma stage I	410
Angioimmunoblastic T-cell lymphoma stage II	411
Angioimmunoblastic T-cell lymphoma stage III	412
Angioimmunoblastic T-cell lymphoma stage IV	413
Angiokeratoma	414
Angiolymphoid hyperplasia with eosinophilia	415
Angiomyolipoma	416
Angiopathy	417
Angioplasty	418
Angiosarcoma	419
Angiosarcoma recurrent	420
Angiosclerosis	421
Angiotensin II increased	422
Angiotensin converting enzyme inhibitor foetopathy	423
Angle closure glaucoma	424
Angular cheilitis	425
Anhidrosis	426
Animal bite	427
Anion gap increased	428
Aniridia	429
Anisocytosis	430
Ankle fracture	431
Ankle operation	432
Ankylosing spondylitis	433
Anogenital dysplasia	434
Anogenital warts	435
Anomalous arrangement of pancreaticobiliary duct	436
Anomalous atrioventricular excitation	437
Anomalous pulmonary venous connection	438
Anomaly of external ear congenital	439
Anomaly of orbit	440
Anophthalmos	441
Anorectal cellulitis	442
Anorectal discomfort	443
Anorectal disorder	444
Anorectal human papilloma virus infection	445
Anorectal infection	446
Anorectal operation	447
Anorectal swelling	448
Anorectal varices	449
Anorectal varices haemorrhage	450
Anorexia nervosa	451
Anorgasmia	452
Anosmia	453
Anosognosia	454
Anovulatory cycle	455
Antasthmatic drug level above therapeutic	456
Anterior capsular rupture	457
Anterior chamber cell	458
Anterior chamber flare	459
Anterior chamber inflammation	460
Anterior spinal artery syndrome	461
Anterograde amnesia	462
Anti factor IX antibody increased	463
Anti factor IX antibody positive	464
Anti factor V antibody positive	465
Anti factor VIII antibody increased	466
Anti-GAD antibody positive	467
Anti-NMDA antibody positive	468
Anti-erythrocyte antibody positive	469
Anti-erythropoietin antibody	470
Anti-erythropoietin antibody positive	471
Anti-glomerular basement membrane antibody positive	472
Anti-glomerular basement membrane disease	473
Anti-insulin antibody	474
Anti-insulin antibody increased	475
Anti-insulin antibody positive	476
Anti-muscle specific kinase antibody positive	477
Anti-myelin-associated glycoprotein antibodies positive	478
Anti-myelin-associated glycoprotein associated polyneuropathy	479
Anti-neutrophil cytoplasmic antibody positive vasculitis	480
Anti-platelet antibody positive	481
Anti-thyroid antibody	482
Anti-thyroid antibody positive	483
Anti-zinc transporter 8 antibody positive	484
Antibiotic associated colitis	485
Antibody test abnormal	486
Antibody test positive	487
Anticholinergic syndrome	488
Anticonvulsant drug level abnormal	489
Anticonvulsant drug level above therapeutic	490
Anticonvulsant drug level below therapeutic	491
Anticonvulsant drug level decreased	492
Anticonvulsant drug level increased	493
Antidepressant drug clearance decreased	494
Antidepressant drug level above therapeutic	495
Antidepressant drug level increased	496
Antidiuretic hormone abnormality	497
Antimicrobial susceptibility test resistant	498
Antimitochondrial antibody positive	499
Antineutrophil cytoplasmic antibody	500
Antineutrophil cytoplasmic antibody increased	501
Antineutrophil cytoplasmic antibody negative	502
Antineutrophil cytoplasmic antibody positive	503
Antinuclear antibody	504
Antinuclear antibody increased	505
Antinuclear antibody positive	506
Antiphospholipid antibodies positive	507
Antiphospholipid syndrome	508
Antipsychotic drug level above therapeutic	509
Antipsychotic drug level decreased	510
Antipsychotic drug level increased	511
Antisocial behaviour	512
Antisynthetase syndrome	513
Antithrombin III decreased	514
Anuria	515
Anxiety	516
Anxiety disorder	517
Anxiety disorder due to a general medical condition	518
Aortic aneurysm	519
Aortic aneurysm repair	520
Aortic aneurysm rupture	521
Aortic arteriosclerosis	522
Aortic dilatation	523
Aortic disorder	524
Aortic dissection	525
Aortic dissection rupture	526
Aortic injury	527
Aortic occlusion	528
Aortic perforation	529
Aortic rupture	530
Aortic stenosis	531
Aortic thrombosis	532
Aortic valve atresia	533
Aortic valve disease	534
Aortic valve incompetence	535
Aortic valve replacement	536
Aortic valve stenosis	537
Aortic wall hypertrophy	538
Aorticopulmonary septal defect	539
Aortitis	540
Aortitis syphilitic	541
Aorto-oesophageal fistula	542
Aortoenteric fistula	543
Apallic syndrome	544
Apathy	545
Apgar score abnormal	546
Apgar score low	547
Aphasia	548
Aphonia	549
Aphthous ulcer	550
Aplasia	551
Aplasia cutis congenita	552
Aplasia pure red cell	553
Aplastic anaemia	554
Apnoea	555
Apnoeic attack	556
Apocrine breast carcinoma	557
Apoptosis	558
Apparent death	559
Appendiceal abscess	560
Appendiceal mucocoele	561
Appendicitis	562
Appendicitis perforated	563
Appendicolith	564
Appendix cancer	565
Appetite disorder	566
Application site atrophy	567
Application site dermatitis	568
Application site discolouration	569
Application site eczema	570
Application site erosion	571
Application site erythema	572
Application site haemorrhage	573
Application site hypersensitivity	574
Application site induration	575
Application site infection	576
Application site inflammation	577
Application site irritation	578
Application site necrosis	579
Application site oedema	580
Application site pain	581
Application site papules	582
Application site perspiration	583
Application site photosensitivity reaction	584
Application site pruritus	585
Application site rash	586
Application site reaction	587
Application site scar	588
Application site swelling	589
Application site ulcer	590
Application site vesicles	591
Application site warmth	592
Apraxia	593
Aptyalism	594
Aqueous humour leakage	595
Arachnoid cyst	596
Arachnoiditis	597
Arcus lipoides	598
Areflexia	599
Arm amputation	600
Arnold-Chiari malformation	601
Arrested labour	602
Arrhythmia	603
Arrhythmia neonatal	604
Arrhythmia supraventricular	605
Arrhythmogenic right ventricular dysplasia	606
Arterial disorder	607
Arterial fibrosis	608
Arterial haemorrhage	609
Arterial injury	610
Arterial intramural haematoma	611
Arterial occlusive disease	612
Arterial restenosis	613
Arterial rupture	614
Arterial spasm	615
Arterial stenosis	616
Arterial therapeutic procedure	617
Arterial thrombosis	618
Arterioenteric fistula	619
Arteriogram carotid abnormal	620
Arteriosclerosis	621
Arteriosclerosis coronary artery	622
Arteriosclerotic retinopathy	623
Arteriospasm coronary	624
Arteriovenous fistula	625
Arteriovenous fistula occlusion	626
Arteriovenous fistula operation	627
Arteriovenous fistula site complication	628
Arteriovenous fistula site haemorrhage	629
Arteriovenous fistula site infection	630
Arteriovenous fistula thrombosis	631
Arteriovenous graft site infection	632
Arteriovenous graft site stenosis	633
Arteriovenous malformation	634
Arteritis	635
Arteritis coronary	636
Arteritis infective	637
Artery dissection	638
Arthralgia	639
Arthritis	640
Arthritis allergic	641
Arthritis bacterial	642
Arthritis enteropathic	643
Arthritis fungal	644
Arthritis infective	645
Arthritis reactive	646
Arthritis salmonella	647
Arthrodesis	648
Arthropathy	649
Arthropod bite	650
Articular calcification	651
Artificial blood vessel occlusion	652
Asbestosis	653
Ascites	654
Asherman's syndrome	655
Asocial behaviour	656
Aspartate aminotransferase abnormal	657
Aspartate aminotransferase decreased	658
Aspartate aminotransferase increased	659
Aspartate-glutamate-transporter deficiency	660
Aspergilloma	661
Aspergillus infection	662
Aspergillus test	663
Aspergillus test positive	664
Aspermia	665
Asphyxia	666
Aspiration	667
Aspirin-exacerbated respiratory disease	668
Asplenia	669
Asteatosis	670
Asterixis	671
Asthenia	672
Asthenopia	673
Asthenospermia	674
Asthma	675
Asthma exercise induced	676
Asthma late onset	677
Asthma-chronic obstructive pulmonary disease overlap syndrome	678
Astigmatism	679
Astrocytoma	680
Astrovirus test positive	681
Ataxia	682
Atelectasis	683
Atelectasis neonatal	684
Atheroembolism	685
Athetosis	686
Atlantoaxial instability	687
Atonic seizures	688
Atopic keratoconjunctivitis	689
Atopy	690
Atrial appendage closure	691
Atrial enlargement	692
Atrial fibrillation	693
Atrial flutter	694
Atrial hypertrophy	695
Atrial natriuretic peptide increased	696
Atrial septal defect	697
Atrial tachycardia	698
Atrial thrombosis	699
Atrioventricular block	700
Atrioventricular block complete	701
Atrioventricular block first degree	702
Atrioventricular block second degree	703
Atrioventricular conduction time shortened	704
Atrioventricular dissociation	705
Atrioventricular septal defect	706
Atrophy	707
Atrophy of globe	708
Attention deficit hyperactivity disorder	709
Atypical benign partial epilepsy	710
Atypical femur fracture	711
Atypical fracture	712
Atypical haemolytic uraemic syndrome	713
Atypical mycobacterial infection	714
Atypical mycobacterial lower respiratory tract infection	715
Atypical mycobacterial lymphadenitis	716
Atypical mycobacterial pneumonia	717
Atypical mycobacterium test positive	718
Atypical pneumonia	719
Atypical teratoid/rhabdoid tumour of CNS	720
Audiogram abnormal	721
Auditory disorder	722
Auditory meatus external erosion	723
Auricular swelling	724
Autism spectrum disorder	725
Autoantibody positive	726
Autoimmune aplastic anaemia	727
Autoimmune arthritis	728
Autoimmune blistering disease	729
Autoimmune cholangitis	730
Autoimmune colitis	731
Autoimmune demyelinating disease	732
Autoimmune dermatitis	733
Autoimmune disorder	734
Autoimmune encephalopathy	735
Autoimmune haemolytic anaemia	736
Autoimmune hepatitis	737
Autoimmune hypothyroidism	738
Autoimmune myocarditis	739
Autoimmune myositis	740
Autoimmune nephritis	741
Autoimmune neutropenia	742
Autoimmune pancreatitis	743
Autoimmune pancytopenia	744
Autoimmune thyroiditis	745
Autologous haematopoietic stem cell transplant	746
Autonomic dysreflexia	747
Autonomic nervous system imbalance	748
Autonomic neuropathy	749
Autonomic seizure	750
Autophobia	751
Autophony	752
Autosomal chromosome anomaly	753
Avulsion fracture	754
Axillary pain	755
Axillary vein thrombosis	756
Axonal neuropathy	757
Azoospermia	758
Azotaemia	759
B precursor type acute leukaemia	760
B-cell lymphoma	761
B-cell lymphoma recurrent	762
B-cell lymphoma stage I	763
B-cell lymphoma stage III	764
B-cell lymphoma stage IV	765
B-cell prolymphocytic leukaemia	766
B-cell small lymphocytic lymphoma	767
B-cell small lymphocytic lymphoma recurrent	768
B-cell type acute leukaemia	769
B-cell unclassifiable lymphoma high grade	770
B-lymphocyte count decreased	771
B-lymphocyte count increased	772
BK polyomavirus test positive	773
BK virus infection	774
BRAF V600E mutation positive	775
Bacillus bacteraemia	776
Bacillus infection	777
Bacillus test positive	778
Back disorder	779
Back injury	780
Back pain	781
Bacteraemia	782
Bacterial diarrhoea	783
Bacterial infection	784
Bacterial parotitis	785
Bacterial pericarditis	786
Bacterial prostatitis	787
Bacterial pyelonephritis	788
Bacterial sepsis	789
Bacterial test positive	790
Bacterial translocation	791
Bacteriuria	792
Bacteroides bacteraemia	793
Bacteroides infection	794
Balamuthia infection	795
Balance disorder	796
Balanoposthitis	797
Balint's syndrome	798
Ballismus	799
Band neutrophil percentage decreased	800
Band neutrophil percentage increased	801
Bandaemia	802
Barrett's oesophagus	803
Bartholin's abscess	804
Bartter's syndrome	805
Basal cell carcinoma	806
Basal ganglia haematoma	807
Basal ganglia haemorrhage	808
Basal ganglia infarction	809
Basal ganglion degeneration	810
Basedow's disease	811
Baseline foetal heart rate variability disorder	812
Basilar artery aneurysm	813
Basilar artery occlusion	814
Basilar artery stenosis	815
Basilar artery thrombosis	816
Basophil count decreased	817
Basophil count increased	818
Basophil percentage decreased	819
Basophil percentage increased	820
Basosquamous carcinoma	821
Bed rest	822
Bedridden	823
Behaviour disorder	824
Behcet's syndrome	825
Bell's palsy	826
Belligerence	827
Benign abdominal neoplasm	828
Benign biliary neoplasm	829
Benign bone neoplasm	830
Benign breast neoplasm	831
Benign gastric neoplasm	832
Benign hepatic neoplasm	833
Benign hydatidiform mole	834
Benign lung neoplasm	835
Benign mediastinal neoplasm	836
Benign mesenteric neoplasm	837
Benign neoplasm	838
Benign neoplasm of bladder	839
Benign neoplasm of cervix uteri	840
Benign neoplasm of choroid	841
Benign neoplasm of prostate	842
Benign neoplasm of skin	843
Benign neoplasm of thyroid gland	844
Benign ovarian tumour	845
Benign pancreatic neoplasm	846
Benign prostatic hyperplasia	847
Benign rolandic epilepsy	848
Benign salivary gland neoplasm	849
Benign small intestinal neoplasm	850
Benign soft tissue neoplasm	851
Benign spleen tumour	852
Benign vaginal neoplasm	853
Benzodiazepine drug level increased	854
Beta 2 microglobulin increased	855
Beta 2 microglobulin urine	856
Beta 2 microglobulin urine increased	857
Beta haemolytic streptococcal infection	858
Beta-N-acetyl-D-glucosaminidase	859
Beta-N-acetyl-D-glucosaminidase increased	860
Bezoar	861
Bezold abscess	862
Bezold-Jarisch reflex	863
Bicuspid aortic valve	864
Bicytopenia	865
Bifidobacterium infection	866
Bile duct adenocarcinoma	867
Bile duct cancer	868
Bile duct necrosis	869
Bile duct stenosis	870
Bile duct stone	871
Bile output increased	872
Biliary anastomosis complication	873
Biliary catheter insertion	874
Biliary colic	875
Biliary dilatation	876
Biliary dyskinesia	877
Biliary fistula	878
Biliary neoplasm	879
Biliary obstruction	880
Biliary polyp	881
Biliary tract disorder	882
Biliary tract infection	883
Biliary tract infection bacterial	884
Biliary tract infection fungal	885
Biliary tract operation	886
Bilirubin conjugated increased	887
Bilirubinuria	888
Biloma	889
Biloma infected	890
Binocular eye movement disorder	891
Biochemical pregnancy	892
Biopsy	893
Biopsy bone abnormal	894
Biopsy bone marrow	895
Biopsy bone marrow abnormal	896
Biopsy kidney	897
Biopsy kidney abnormal	898
Biopsy liver	899
Biopsy thyroid gland abnormal	900
Biotin deficiency	901
Bipolar I disorder	902
Bipolar II disorder	903
Bipolar disorder	904
Birth mark	905
Bladder cancer	906
Bladder cancer recurrent	907
Bladder cancer stage 0	908
Bladder cancer stage I	909
Bladder cancer stage IV	910
Bladder candidiasis	911
Bladder catheterisation	912
Bladder dilatation	913
Bladder discomfort	914
Bladder disorder	915
Bladder dysfunction	916
Bladder fibrosis	917
Bladder granuloma	918
Bladder hypertrophy	919
Bladder injury	920
Bladder irritation	921
Bladder mass	922
Bladder necrosis	923
Bladder neoplasm	924
Bladder neoplasm surgery	925
Bladder pain	926
Bladder papilloma	927
Bladder perforation	928
Bladder prolapse	929
Bladder squamous cell carcinoma stage unspecified	930
Bladder tamponade	931
Bladder telangiectasia	932
Bladder transitional cell carcinoma	933
Bladder transitional cell carcinoma recurrent	934
Bladder ulcer	935
Blast cell count decreased	936
Blast cell count increased	937
Blast cell crisis	938
Blast cell proliferation	939
Blast cells present	940
Blast crisis in myelogenous leukaemia	941
Blastic plasmacytoid dendritic cell neoplasia	942
Blebitis	943
Bleeding anovulatory	944
Bleeding time prolonged	945
Bleeding varicose vein	946
Blepharal pigmentation	947
Blepharitis	948
Blepharitis allergic	949
Blepharospasm	950
Blepharosynechia	951
Blindness	952
Blindness cortical	953
Blindness transient	954
Blindness unilateral	955
Blister	956
Blister infected	957
Blister rupture	958
Blood HIV RNA	959
Blood HIV RNA decreased	960
Blood HIV RNA increased	961
Blood albumin decreased	962
Blood albumin increased	963
Blood aldosterone decreased	964
Blood aldosterone increased	965
Blood alkaline phosphatase abnormal	966
Blood alkaline phosphatase decreased	967
Blood alkaline phosphatase increased	968
Blood antidiuretic hormone	969
Blood antidiuretic hormone abnormal	970
Blood antidiuretic hormone decreased	971
Blood antidiuretic hormone increased	972
Blood beta-D-glucan abnormal	973
Blood beta-D-glucan increased	974
Blood bicarbonate increased	975
Blood bilirubin abnormal	976
Blood bilirubin decreased	977
Blood bilirubin increased	978
Blood bilirubin unconjugated increased	979
Blood blister	980
Blood calcium abnormal	981
Blood calcium decreased	982
Blood calcium increased	983
Blood catecholamines increased	984
Blood chloride decreased	985
Blood chloride increased	986
Blood cholesterol abnormal	987
Blood cholesterol decreased	988
Blood cholesterol increased	989
Blood cholinesterase decreased	990
Blood cholinesterase increased	991
Blood chromium	992
Blood chromium increased	993
Blood copper decreased	994
Blood corticosterone increased	995
Blood corticotrophin abnormal	996
Blood corticotrophin decreased	997
Blood corticotrophin increased	998
Blood count abnormal	999
Blood creatine abnormal	1000
Blood creatine increased	1001
Blood creatine phosphokinase BB increased	1002
Blood creatine phosphokinase MB	1003
Blood creatine phosphokinase MB increased	1004
Blood creatine phosphokinase abnormal	1005
Blood creatine phosphokinase decreased	1006
Blood creatine phosphokinase increased	1007
Blood creatinine abnormal	1008
Blood creatinine decreased	1009
Blood creatinine increased	1010
Blood culture positive	1011
Blood disorder	1012
Blood elastase increased	1013
Blood electrolytes abnormal	1014
Blood electrolytes decreased	1015
Blood erythropoietin increased	1016
Blood ethanol increased	1017
Blood fibrinogen decreased	1018
Blood fibrinogen increased	1019
Blood folate decreased	1020
Blood folate increased	1021
Blood follicle stimulating hormone decreased	1022
Blood follicle stimulating hormone increased	1023
Blood gases	1024
Blood gastrin increased	1025
Blood glucose abnormal	1026
Blood glucose decreased	1027
Blood glucose false positive	1028
Blood glucose fluctuation	1029
Blood glucose increased	1030
Blood gonadotrophin increased	1031
Blood growth hormone decreased	1032
Blood growth hormone increased	1033
Blood homocysteine increased	1034
Blood hyposmosis	1035
Blood immunoglobulin A decreased	1036
Blood immunoglobulin A increased	1037
Blood immunoglobulin E increased	1038
Blood immunoglobulin G decreased	1039
Blood immunoglobulin G increased	1040
Blood immunoglobulin M abnormal	1041
Blood immunoglobulin M decreased	1042
Blood immunoglobulin M increased	1043
Blood insulin abnormal	1044
Blood insulin decreased	1045
Blood insulin increased	1046
Blood iron decreased	1047
Blood iron increased	1048
Blood ketone body	1049
Blood ketone body increased	1050
Blood lactate dehydrogenase abnormal	1051
Blood lactate dehydrogenase decreased	1052
Blood lactate dehydrogenase increased	1053
Blood lactic acid increased	1054
Blood loss anaemia	1055
Blood magnesium decreased	1056
Blood magnesium increased	1057
Blood oestrogen increased	1058
Blood osmolarity decreased	1059
Blood osmolarity increased	1060
Blood pH decreased	1061
Blood pH increased	1062
Blood parathyroid hormone decreased	1063
Blood parathyroid hormone increased	1064
Blood phosphorus abnormal	1065
Blood phosphorus decreased	1066
Blood phosphorus increased	1067
Blood potassium abnormal	1068
Blood potassium decreased	1069
